Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
23,1646245504679,02/03/2022 18:25:04,1646245504633,0,02/03/2022 18:25:04,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,57,21,1,Screen 1,continueButton,response_rating_scale_likert_active,3981,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Save the Planet being vegan,24/02/2022 16:58,24/02/2022 17:04,R_4I6IGcZhPSbxrR7,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Agree,Neither Agree nor Disagree,Disagree,Most weeks,Most days,25,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",I am very happy to fill something with this subject.,9,3,For,For
24,1646245510282,02/03/2022 18:25:10,1646245510255,0,02/03/2022 18:25:10,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,35,22,1,Screen 1,continueButton,response_rating_scale_likert_active,5572,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I think veganism is too hard to accomplish,24/02/2022 16:58,24/02/2022 17:03,R_12SwVlFWhtN72N2,YES,Yes,Somewhat Confident,NA,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Rarely,Once or twice a year,24,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,6,2,For,Against
25,1646245513347,02/03/2022 18:25:13,1646245513142,0,02/03/2022 18:25:13,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,12,23,1,Screen 1,continueButton,response_rating_scale_likert_active,2840.999999999942,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"I am like a lion, you cannot deny me my protein",24/02/2022 16:50,24/02/2022 16:58,R_2a8LTgFff8HGwLo,YES,Yes,Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Strongly Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Disagree,Rarely,A few times a year,23,Female,NA,"Undergraduate degree (BSc, BA)",NA,2,3,For,Against
26,1646245519000,02/03/2022 18:25:19,1646245518975,0,02/03/2022 18:25:18,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,8,24,1,Screen 1,continueButton,response_rating_scale_likert_active,5789,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Because I want to reduce their environmental impact and carbon footprint.,24/02/2022 16:50,24/02/2022 16:54,R_2rv9z4vLZcwvFZX,YES,Yes,Confident,NA,Strongly Disagree,NA,NA,NA,Somewhat Disagree,Agree,Strongly Agree,NA,NA,NA,Strongly Agree,Agree,Agree,Most weeks,Most weeks,23,Female,NA,"Undergraduate degree (BSc, BA)",NA,1,2,For,For
27,1646245526498,02/03/2022 18:25:26,1646245526467,0,02/03/2022 18:25:26,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,46,25,1,Screen 1,continueButton,response_rating_scale_likert_active,7435.000000000058,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,because is the natural circle of life,24/02/2022 16:59,24/02/2022 17:04,R_rjpz7nY8NySy849,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Most weeks,A few times a year,29,Female,NA,"Undergraduate degree (BSc, BA)",NA,8,1,For,Against
28,1646245530367,02/03/2022 18:25:30,1646245530332,0,02/03/2022 18:25:30,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,25,26,1,Screen 1,continueButton,response_rating_scale_likert_active,3819,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,For ethical reasons and believes,24/02/2022 16:53,24/02/2022 17:01,R_3kb6UAVBbutvyD6,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once or twice a year,Most weeks,22,Female,NA,"Undergraduate degree (BSc, BA)",NA,4,1,For,For
29,1646245542016,02/03/2022 18:25:42,1646245542001,0,02/03/2022 18:25:42,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,18,27,1,Screen 1,continueButton,response_rating_scale_likert_active,11615,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"I can still save the planet, by advocating for the reduction of carbon dioxide.",24/02/2022 16:48,24/02/2022 16:59,R_2Wx4CW5Ir4FULQt,YES,Yes,Somewhat Confident,NA,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,A few times a year,23,Female,NA,"Undergraduate degree (BSc, BA)",I really enjoyed this study. It was quite thought provoking and made me realise that I do not try to shove veganism down people's throat.,3,3,For,Against
30,1646245547282,02/03/2022 18:25:47,1646245547209,0,02/03/2022 18:25:47,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,30,28,1,Screen 1,continueButton,response_rating_scale_likert_active,5166,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Meals which contains meat tast better,24/02/2022 16:50,24/02/2022 17:01,R_1feBl1EgjD9sS0W,YES,Yes,Confident,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,Most months,28,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,5,3,For,Against
31,1646245552101,02/03/2022 18:25:52,1646245552078,0,02/03/2022 18:25:52,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,56,29,1,Screen 1,continueButton,response_rating_scale_likert_active,4821,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Be Healthier and Happier,24/02/2022 16:58,24/02/2022 17:04,R_4I6IGcZhPSbxrR7,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Agree,Neither Agree nor Disagree,Disagree,Most weeks,Most days,25,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",I am very happy to fill something with this subject.,9,2,For,For
32,1646245559985,02/03/2022 18:25:59,1646245559961,0,02/03/2022 18:25:59,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,34,30,1,Screen 1,continueButton,response_rating_scale_likert_active,7834,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,their family is not vegan,24/02/2022 16:58,24/02/2022 17:03,R_12SwVlFWhtN72N2,YES,Yes,Somewhat Confident,NA,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Rarely,Once or twice a year,24,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,6,1,For,Against
33,1646245564305,02/03/2022 18:26:04,1646245564283,0,02/03/2022 18:26:04,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,32,31,1,Screen 1,continueButton,response_rating_scale_likert_active,4265,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,well-being. Person who is vegan can feel better with herself/himself,24/02/2022 16:50,24/02/2022 17:01,R_1feBl1EgjD9sS0W,YES,Yes,Confident,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,Most months,28,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,5,2,For,For
34,1646245575253,02/03/2022 18:26:15,1646245575221,0,02/03/2022 18:26:15,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,22,32,1,Screen 1,continueButton,response_rating_scale_likert_active,10884,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Is not the same taste as meat and dairy,24/02/2022 16:53,24/02/2022 17:01,R_3kb6UAVBbutvyD6,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once or twice a year,Most weeks,22,Female,NA,"Undergraduate degree (BSc, BA)",NA,4,1,For,Against
35,1646245586815,02/03/2022 18:26:26,1646245586791,0,02/03/2022 18:26:26,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,16,33,1,Screen 1,continueButton,response_rating_scale_likert_active,11517,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"Just because I do eat meat, it doesn't mean I do not care for animals.",24/02/2022 16:48,24/02/2022 16:59,R_2Wx4CW5Ir4FULQt,YES,Yes,Somewhat Confident,NA,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,A few times a year,23,Female,NA,"Undergraduate degree (BSc, BA)",I really enjoyed this study. It was quite thought provoking and made me realise that I do not try to shove veganism down people's throat.,3,1,For,Against
36,1646245591498,02/03/2022 18:26:31,1646245591474,0,02/03/2022 18:26:31,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,42,34,1,Screen 1,continueButton,response_rating_scale_likert_active,4641.000000000058,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Not eating meat and animal products will lead to vitamin and iron deficiencies.,24/02/2022 16:54,24/02/2022 17:03,R_3Ofgy4rEZ8ZwHB1,YES,Yes,Confident,NA,Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Rarely,Most months,19,Female,NA,No formal qualifications,NA,7,3,For,Against
37,1646245607471,02/03/2022 18:26:47,1646245607448,0,02/03/2022 18:26:47,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,33,35,1,Screen 1,continueButton,response_rating_scale_likert_active,15926,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"being healthy. Eating meat is considered to be unhealthy. People who are vegan feel better, they get sick less",24/02/2022 16:50,24/02/2022 17:01,R_1feBl1EgjD9sS0W,YES,Yes,Confident,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,Most months,28,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,5,3,For,For
38,1646245613128,02/03/2022 18:26:53,1646245613093,0,02/03/2022 18:26:53,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,9,36,1,Screen 1,continueButton,response_rating_scale_likert_active,5602,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"For health reasons, such as reducing carcinogens like processed meats.",24/02/2022 16:50,24/02/2022 16:54,R_2rv9z4vLZcwvFZX,YES,Yes,Confident,NA,Strongly Disagree,NA,NA,NA,Somewhat Disagree,Agree,Strongly Agree,NA,NA,NA,Strongly Agree,Agree,Agree,Most weeks,Most weeks,23,Female,NA,"Undergraduate degree (BSc, BA)",NA,1,3,For,For
39,1646245615819,02/03/2022 18:26:55,1646245615794,0,02/03/2022 18:26:55,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,6,37,1,Screen 1,continueButton,response_rating_scale_likert_active,2649,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I think going vegan is too expensive,24/02/2022 16:50,24/02/2022 16:54,R_2rv9z4vLZcwvFZX,YES,Yes,Confident,NA,Strongly Disagree,NA,NA,NA,Somewhat Disagree,Agree,Strongly Agree,NA,NA,NA,Strongly Agree,Agree,Agree,Most weeks,Most weeks,23,Female,NA,"Undergraduate degree (BSc, BA)",NA,1,3,For,Against
40,1646245618232,02/03/2022 18:26:58,1646245618208,0,02/03/2022 18:26:58,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,60,38,1,Screen 1,continueButton,response_rating_scale_likert_active,2363,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Being vegan is expensive,24/02/2022 16:55,24/02/2022 17:06,R_VO1DukM94XfOBTb,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Disagree,Agree,Strongly Agree,NA,NA,NA,Agree,Agree,Agree,it is a privileged lifestyle.,Most weeks,Most weeks,22,Female,NA,"Undergraduate degree (BSc, BA)",10,3,For,Against
41,1646245630595,02/03/2022 18:27:10,1646245630546,0,02/03/2022 18:27:10,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,15,39,1,Screen 1,continueButton,response_rating_scale_likert_active,12288,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I do not feel right about the way animals are bread and then killed. It is a privilege of the rich and that is harming the environment. (environment),24/02/2022 16:50,24/02/2022 16:58,R_2a8LTgFff8HGwLo,YES,Yes,Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Strongly Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Disagree,Rarely,A few times a year,23,Female,NA,"Undergraduate degree (BSc, BA)",NA,2,3,For,For
42,1646245632995,02/03/2022 18:27:12,1646245632977,0,02/03/2022 18:27:12,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,7,40,1,Screen 1,continueButton,response_rating_scale_likert_active,2387,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Because I love animals and respect living creatures.,24/02/2022 16:50,24/02/2022 16:54,R_2rv9z4vLZcwvFZX,YES,Yes,Confident,NA,Strongly Disagree,NA,NA,NA,Somewhat Disagree,Agree,Strongly Agree,NA,NA,NA,Strongly Agree,Agree,Agree,Most weeks,Most weeks,23,Female,NA,"Undergraduate degree (BSc, BA)",NA,1,1,For,For
43,1646245635079,02/03/2022 18:27:15,1646245635053,0,02/03/2022 18:27:15,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,41,41,1,Screen 1,continueButton,response_rating_scale_likert_active,2024,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It can be difficult and expensive.,24/02/2022 16:54,24/02/2022 17:03,R_3Ofgy4rEZ8ZwHB1,YES,Yes,Confident,NA,Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Rarely,Most months,19,Female,NA,No formal qualifications,NA,7,2,For,Against
44,1646245641175,02/03/2022 18:27:21,1646245641147,0,02/03/2022 18:27:21,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,49,42,1,Screen 1,continueButton,response_rating_scale_likert_active,6049.000000000058,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,not fair for animals to be killed just for tasty food,24/02/2022 16:59,24/02/2022 17:04,R_rjpz7nY8NySy849,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Most weeks,A few times a year,29,Female,NA,"Undergraduate degree (BSc, BA)",NA,8,1,For,For
45,1646245646787,02/03/2022 18:27:26,1646245646758,0,02/03/2022 18:27:26,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,13,43,1,Screen 1,continueButton,response_rating_scale_likert_active,5560.000000000058,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't want to kill and eat animals. I want them to live a long life (love for animals),24/02/2022 16:50,24/02/2022 16:58,R_2a8LTgFff8HGwLo,YES,Yes,Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Strongly Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Disagree,Rarely,A few times a year,23,Female,NA,"Undergraduate degree (BSc, BA)",NA,2,1,For,For
46,1646245649412,02/03/2022 18:27:29,1646245649378,0,02/03/2022 18:27:29,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,17,44,1,Screen 1,continueButton,response_rating_scale_likert_active,2572,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I eat meat because it is the easiest way to get protein in my diet.,24/02/2022 16:48,24/02/2022 16:59,R_2Wx4CW5Ir4FULQt,YES,Yes,Somewhat Confident,NA,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,A few times a year,23,Female,NA,"Undergraduate degree (BSc, BA)",I really enjoyed this study. It was quite thought provoking and made me realise that I do not try to shove veganism down people's throat.,3,2,For,Against
47,1646245661205,02/03/2022 18:27:41,1646245661177,0,02/03/2022 18:27:41,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,3,45,1,Screen 1,continueButton,response_rating_scale_likert_active,11750,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"We would like to check you are reading each argument carefully. Please select ""Somewhat agree"" for this answer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check2,NA,NA
48,1646245677985,02/03/2022 18:27:57,1646245677953,0,02/03/2022 18:27:57,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,51,46,1,Screen 1,continueButton,response_rating_scale_likert_active,16731,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,better for the health,24/02/2022 16:59,24/02/2022 17:04,R_rjpz7nY8NySy849,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Most weeks,A few times a year,29,Female,NA,"Undergraduate degree (BSc, BA)",NA,8,3,For,For
49,1646245683829,02/03/2022 18:28:03,1646245683801,0,02/03/2022 18:28:03,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,50,47,1,Screen 1,continueButton,response_rating_scale_likert_active,5801,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,production of animal products are very bad for the environment,24/02/2022 16:59,24/02/2022 17:04,R_rjpz7nY8NySy849,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Most weeks,A few times a year,29,Female,NA,"Undergraduate degree (BSc, BA)",NA,8,2,For,For
50,1646245687585,02/03/2022 18:28:07,1646245687551,0,02/03/2022 18:28:07,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,62,48,1,Screen 1,continueButton,response_rating_scale_likert_active,3700,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Animal agriculture is extremely harmful to the environment. There are countless studies in support of this.,24/02/2022 16:55,24/02/2022 17:06,R_VO1DukM94XfOBTb,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Disagree,Agree,Strongly Agree,NA,NA,NA,Agree,Agree,Agree,it is a privileged lifestyle.,Most weeks,Most weeks,22,Female,NA,"Undergraduate degree (BSc, BA)",10,2,For,For
51,1646245693598,02/03/2022 18:28:13,1646245693560,0,02/03/2022 18:28:13,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,48,49,1,Screen 1,continueButton,response_rating_scale_likert_active,5957,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,not wanting to give up to cheese and meat,24/02/2022 16:59,24/02/2022 17:04,R_rjpz7nY8NySy849,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Most weeks,A few times a year,29,Female,NA,"Undergraduate degree (BSc, BA)",NA,8,3,For,Against
52,1646245696945,02/03/2022 18:28:16,1646245696901,0,02/03/2022 18:28:16,81174,6,task-t3d4,NA,19994909,5923284,NA,complete,NA,621fb4c523b768ff2fda11e5,mobile,Apple iPhone,iOS 12.5.5,Mobile Safari 12.1.2,375x667,667x375,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,53,50,1,Screen 1,continueButton,response_rating_scale_likert_active,3295,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It is really hard to have a social life with so many restrictions,24/02/2022 16:58,24/02/2022 17:04,R_4I6IGcZhPSbxrR7,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Agree,Neither Agree nor Disagree,Disagree,Most weeks,Most days,25,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",I am very happy to fill something with this subject.,9,2,For,Against
