Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
22,1658858528472,26/07/2022 18:02:08,1658858528358,1,26/07/2022 19:02:08,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,6,20,1,Screen 1,continueButton,response_rating_scale_likert_active,3267,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"links to blood clots and herpes - shingles, coldsores etc",1,17/05/2021 11:20,17/05/2021 11:28,519,Most weeks,Most days,42,Female,-99,Doctorate (PhD),31,3,Against,Against
23,1658858532086,26/07/2022 18:02:12,1658858532013,1,26/07/2022 19:02:12,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,48,21,1,Screen 1,continueButton,response_rating_scale_likert_active,3637.100000143051,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Vaccines take up to a decade to be safely trialled - this one has had around 9 months so there is no way all possible issues have been addressed.,1,17/05/2021 11:32,17/05/2021 11:42,618,Never,Rarely,57,Male,-99,A levels,38,3,Against,Against
24,1658858535005,26/07/2022 18:02:15,1658858534928,1,26/07/2022 19:02:14,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,13,22,1,Screen 1,continueButton,response_rating_scale_likert_active,2902.2999999523163,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Everyone is having it so it must be safe.,1,17/05/2021 11:15,17/05/2021 11:30,899,Most weeks,Most weeks,61,Male,-99,"Postgraduate degree (MSc, MA, MPhil)",32,1,Against,For
25,1658858538059,26/07/2022 18:02:18,1658858537950,1,26/07/2022 19:02:17,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,22,23,1,Screen 1,continueButton,response_rating_scale_likert_active,3009.900000095367,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I do not know the side effects.,1,17/05/2021 11:28,17/05/2021 11:32,263,Most weeks,Rarely,58,Female,-99,GCSEs,34,1,Against,Against
26,1658858550344,26/07/2022 18:02:30,1658858550237,1,26/07/2022 19:02:30,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,52,24,1,Screen 1,continueButton,response_rating_scale_likert_active,12272.200000047684,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Matt Hancock made an announcement on the 16th of May that people that have taken the two vaccine doses ''may still die'' as Indian variant spreads.,1,17/05/2021 11:35,17/05/2021 11:42,462,Most weeks,Most days,27,Female,-99,"Undergraduate degree (BSc, BA)",39,1,Against,Against
27,1658858553844,26/07/2022 18:02:33,1658858553782,1,26/07/2022 19:02:33,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,58,25,1,Screen 1,continueButton,response_rating_scale_likert_active,3533.100000143051,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It does not make sense to receive a vaccine for a virus that has over 95% recovery rate!,1,17/05/2021 11:08,17/05/2021 11:43,2086,Most days,Most days,28,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",40,1,Against,Against
28,1658858558152,26/07/2022 18:02:38,1658858558040,1,26/07/2022 19:02:38,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,24,26,1,Screen 1,continueButton,response_rating_scale_likert_active,4236.700000047684,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I have lived with someone with Covid and did not even get ill.,1,17/05/2021 11:28,17/05/2021 11:32,263,Most weeks,Rarely,58,Female,-99,GCSEs,34,3,Against,Against
29,1658858560579,26/07/2022 18:02:40,1658858560518,1,26/07/2022 19:02:40,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,4,27,1,Screen 1,continueButton,response_rating_scale_likert_active,2464.199999809265,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"it's not a vaccine, it is an experimental RNA jab",1,17/05/2021 11:20,17/05/2021 11:28,519,Most weeks,Most days,42,Female,-99,Doctorate (PhD),31,1,Against,Against
30,1658858564525,26/07/2022 18:02:44,1658858564449,1,26/07/2022 19:02:44,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,45,28,1,Screen 1,continueButton,response_rating_scale_likert_active,3919.099999904633,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The government told me to,1,17/05/2021 11:31,17/05/2021 11:38,434,Most weeks,Most days,46,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",37,3,Against,For
31,1658858567377,26/07/2022 18:02:47,1658858567303,1,26/07/2022 19:02:47,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,55,29,1,Screen 1,continueButton,response_rating_scale_likert_active,2836.600000143051,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It has gone through a fast track testing process to get it out into the public as soon as possible.,1,17/05/2021 11:35,17/05/2021 11:42,462,Most weeks,Most days,27,Female,-99,"Undergraduate degree (BSc, BA)",39,1,Against,For
